Name,Manufacturer,Fuel_Type,Transmission,Engine(CC),Mileage(Km/L),Seats,Price,cluster
Maruti Wagon R LXI CNG,Maruti,CNG,Manual,998,26.6,5,1.75,4
Hyundai Creta 1.6 CRDi SX Option,Hyundai,Diesel,Manual,1582,19.67,5,12.5,1
Honda Jazz V,Honda,Petrol,Manual,1199,18.2,5,4.5,0
Maruti Ertiga VDI,Maruti,Diesel,Manual,1248,20.77,7,6.0,4
Audi A4 New 2.0 TDI Multitronic,Audi,Diesel,Automatic,1968,15.2,5,17.74,3
Nissan Micra Diesel XV,Nissan,Diesel,Manual,1461,23.08,5,3.5,1
Volkswagen Vento Diesel Comfortline,Volkswagen,Diesel,Manual,1598,20.54,5,5.2,1
Tata Indica Vista Quadrajet LS,Tata,Diesel,Manual,1248,22.3,5,1.95,4
Maruti Ciaz Zeta,Maruti,Petrol,Manual,1462,21.56,5,9.95,0
Honda City 1.5 V AT Sunroof,Honda,Petrol,Automatic,1497,16.8,5,4.49,2
Maruti Swift VDI BSIV,Maruti,Diesel,Manual,1248,25.2,5,5.6,4
Land Rover Range Rover 2.2L Pure,Land,Diesel,Automatic,2179,12.7,5,27.0,3
Land Rover Freelander 2 TD4 SE,Land,Diesel,Automatic,2179,0.0,5,17.5,3
Mitsubishi Pajero Sport 4X4,Mitsubishi,Diesel,Manual,2477,13.5,7,15.0,5
Honda Amaze S i-Dtech,Honda,Diesel,Manual,1498,25.8,5,5.4,4
Maruti Swift DDiS VDI,Maruti,Diesel,Manual,1248,28.4,5,5.99,4
Renault Duster 85PS Diesel RxL Plus,Renault,Diesel,Manual,1461,20.45,5,6.34,1
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Mercedesbenz,Diesel,Automatic,2143,14.84,5,28.0,3
BMW 3 Series 320d,Bmw,Diesel,Automatic,1995,22.69,5,18.55,3
Maruti S Cross DDiS 200 Alpha,Maruti,Diesel,Manual,1248,23.65,5,8.25,4
Audi A6 2011-2015 35 TFSI Technology,Audi,Petrol,Automatic,1984,13.53,5,23.5,2
Hyundai i20 1.2 Magna,Hyundai,Petrol,Manual,1197,18.5,5,1.87,0
Volkswagen Vento Petrol Highline AT,Volkswagen,Petrol,Automatic,1598,14.4,5,2.85,2
Honda City Corporate Edition,Honda,Petrol,Manual,1497,16.8,5,4.25,0
Nissan Micra Diesel XV,Nissan,Diesel,Manual,1461,23.08,5,4.25,1
Maruti Alto K10 2010-2014 VXI,Maruti,Petrol,Manual,998,20.92,5,2.75,0
Honda WRV i-VTEC VX,Honda,Petrol,Manual,1199,17.5,5,9.9,0
Toyota Innova 2.5 V Diesel 7-seater,Toyota,Diesel,Manual,2494,12.8,7,4.0,5
Renault Duster 110PS Diesel RxZ Pack,Renault,Diesel,Manual,1461,19.01,5,7.75,1
Toyota Corolla Altis G,Toyota,Petrol,Manual,1798,14.53,5,6.75,0
Mahindra Ssangyong Rexton RX7,Mahindra,Diesel,Automatic,2696,11.18,7,12.5,3
Audi A6 2.7 TDI,Audi,Diesel,Automatic,2698,12.4,5,11.5,3
Volkswagen Vento 1.6 Highline,Volkswagen,Petrol,Manual,1598,16.09,5,6.98,0
Maruti Wagon R LXI BSIII,Maruti,Petrol,Manual,1061,14.0,5,1.85,0
Maruti Vitara Brezza ZDi Plus,Maruti,Diesel,Manual,1248,24.3,5,8.63,4
Mahindra KUV 100 mFALCON G80 K6 5str AW,Mahindra,Petrol,Manual,1198,18.15,5,4.85,0
Mercedes-Benz M-Class ML 350 CDI,Mercedesbenz,Diesel,Automatic,2987,11.74,5,28.0,3
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Diesel,Manual,1199,22.07,5,5.0,1
Maruti Alto LXi,Maruti,Petrol,Manual,796,19.7,5,1.25,0
Tata Nano LX SE,Tata,Petrol,Manual,624,25.4,4,1.53,0
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,Diesel,Manual,1198,25.32,6,5.58,5
Hyundai i20 Magna Optional 1.2,Hyundai,Petrol,Manual,1197,18.5,5,4.74,0
Hyundai Elantra 2.0 SX Option AT,Hyundai,Petrol,Automatic,1999,14.62,5,8.85,2
Toyota Corolla Altis G AT,Toyota,Petrol,Automatic,1798,14.28,5,10.11,2
Hyundai Elantra CRDi,Hyundai,Diesel,Manual,1991,14.9,5,4.25,1
Toyota Innova Crysta 2.7 GX MT,Toyota,Petrol,Manual,2694,11.25,7,10.95,0
Hyundai Xcent 1.1 CRDi S,Hyundai,Diesel,Manual,1120,24.4,5,3.85,1
Mahindra Thar CRDe AC,Mahindra,Diesel,Manual,2498,16.55,6,5.5,5
